SMILES,Name,pIC50
CS(=O)(=O)c1cccc(C(=O)NC[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cccc(Cl)c2)c1,CHEMBL564249,9.42021640338319
O=C(NCc1ccccc1)NC12CC3CC(CC(NCC(=O)N4Cc5ccccc5C4)(C3)C1)C2,CHEMBL5437013,5.0
C[C@H](NC(=O)c1cccc(Cl)c1)C(=O)N1CCn2c(nnc2C(F)(F)F)C1,CHEMBL5870057,9.67778070526608
Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,CHEMBL2147775,8.200659450546418
COc1ccc(N2C[C@H](CN)[C@@H](c3cc(F)ccc3F)CC2=O)cn1,CHEMBL3236107,6.3448615651886175
N[C@@H](CC(=O)N1CCN2C(=O)N(Cc3ccc(F)cc3)CC2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O,CHEMBL1276682,5.907981529247203
CC(C)[C@@H](Oc1ccc(NC(=O)C2CC=NN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1)C(=O)O.Cl,CHEMBL528328,5.657577319177793
N[C@@H](CCNCc1ccc(Cl)cc1)C(=O)N1CCCC(O)C1,CHEMBL99936,3.0
CNc1nc2c(c(-c3cc(F)ccc3Br)c1CN)c(=O)n(C)c(=O)n2C,CHEMBL2159190,8.55284196865778
N#C[C@@H]1CC(F)(F)CN1C(=O)CNC(=O)c1ccccc1,CHEMBL2022529,4.0
CC(C)C(Oc1ccc(CNC(=O)C2SCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1)C(=O)O.Cl,CHEMBL1683498,8.221848749616356
N[C@@H](CC(=O)N1CCNCC1)Cc1ccc(F)c(F)c1,CHEMBL366549,5.508638306165727
Cc1nc(-c2ccc(Cl)cc2)cc(C(=O)N2CCCC2)c1CN,CHEMBL1688520,4.301029995663981
N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,CHEMBL281561,7.1249387366083
N[C@@H]1CCCN(c2cc(=O)n3nccc3n2Cc2ccc([N+](=O)[O-])cc2)C1,CHEMBL4212367,4.939302159646388
CC#CCn1c(N2CCCC(N)C2)nc(Br)c1C(=O)NCc1cccc2ccccc12,CHEMBL402111,6.252588192113577
N[C@@H](CC(=O)N1CCc2c(C3CC3)n[nH]c2C1)Cc1cc(F)ccc1F,CHEMBL425905,6.795880017344075
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCC(c3nc(-c4ccccc4)c[nH]3)CC1)c(=O)n2C,CHEMBL4744389,7.356547323513812
Cc1nc(C(=O)NC2CC2)cc(-c2ccc(F)cc2)c1CN,CHEMBL1688415,7.096910013008056
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL28,6.853871964321762
Brc1nc2n(n1)CC(c1cc3ccccc3o1)=NN2,CHEMBL4246951,4.549763136269044
O=C([C@@H]1C[C@H](N2CCN(c3ccc([N+](=O)[O-])cn3)CC2)CN1)N1CCSC1,CHEMBL399610,9.036212172654444
C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1CCSCC1,CHEMBL394165,8.207608310501746
N[C@@H](CC(=O)N1CCc2c(nc(C(F)(F)F)nc2C(F)(F)F)C1)CN1CC(F)(F)CCC1=O.N[C@@H](CC(=O)N1CCc2c(nc(C(F)(F)F)nc2C(F)(F)F)C1)CN1CC(F)(F)CCC1=O.O.O.O.O=C(O)[C@H](O)[C@@H](O)C(=O)O.O=C(O)[C@H](O)[C@@H](O)C(=O)O,CHEMBL5598215,7.987162775294828
Cc1ccc(-c2c(CN)c(CC(C)C)nc3ccc(CCCCC(=O)O)cc23)cc1.Cl.Cl,CHEMBL3216279,8.017728766960431
CC[C@H](C)[C@H](N)C(=O)N1CCCC1,CHEMBL503274,5.3979400086720375
N#Cc1ccc(N2C[C@@H]3[C@H](C2)[C@H]3NCC(=O)N2C[C@@H](F)C[C@H]2C#N)c2ccccc12,CHEMBL480943,5.7657358756212105
CNC(=O)Cc1c(C)nc(CC(C)C)c(CN)c1-c1ccc(C)cc1.Cl.Cl,CHEMBL3216727,7.161150909262744
CCCC[C@@H](NC(=O)[C@@H](N)C(C)C)B(O)O,CHEMBL194250,4.769551078621726
N[C@@H](CC(=O)N1CCn2c(CO)nnc2C1)Cc1cc(F)ccc1F,CHEMBL233684,7.161150909262744
CCN(CC#N)C(=O)[C@@H]1C[C@H](C(=O)N2CCOCC2)[C@H](C)N1,CHEMBL402466,7.619788758288394
CC(C)(CNC(=O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,CHEMBL488810,6.962573502059376
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C(=O)N2CCSCC2)CN1,CHEMBL400615,8.318758762624412
CCN(C)C(=O)[C@H]1C[C@@H](C(=O)N2CCC[C@H]2C#N)N[C@H]1C,CHEMBL394932,7.823908740944319
CCOC(=O)c1cnc(CN)c2c(OC)cc(OC)cc12,CHEMBL186406,6.494850021680094
N[C@@H](CCN1CCC[C@H]1c1noc(-c2ccccc2)n1)Cc1ccccc1F,CHEMBL585663,7.045757490560675
CC(C)(NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N)c1ccccc1,CHEMBL210259,6.583359492661719
CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)C(=O)C1CC1,CHEMBL564105,8.958607314841775
CC#CCn1c(N2CCC[C@@H](N)C2)nc2ccn(C)c2c1=O,CHEMBL2346919,6.673869043289205
NCCCCC(N)C(=O)N1CC=CCC1,CHEMBL359211,3.3010299956639813
CC(C)(C)NCC(=O)N1C[C@@H](F)C[C@H]1C(=O)c1noc(C(C)(C)C)n1,CHEMBL392552,7.200659450546418
COc1ccc2ccc3c(c2c1)CC(N)C(c1cc(F)ccc1F)O3,CHEMBL5976169,7.481486060122112
CS(=O)(=O)NC[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,CHEMBL3357781,6.366531544420413
Cn1cnc2ccc(-c3cc(F)ccc3Cl)c(CN)c21,CHEMBL272771,6.494850021680094
CCC(C)C(N)C(=O)N(C)C,CHEMBL148002,3.443697499232713
N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(OC(F)(F)F)cc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069841,7.189767482004916
CC[C@@H](C)[C@H](N)C(=O)N1Cc2cn[nH]c2C1.O=C(O)C(F)(F)F,CHEMBL3800132,4.0
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](NC2CCCCC2)CN1,CHEMBL192882,8.522878745280337
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(F)c2C(=O)OC)c1=O,CHEMBL4453917,7.030584087646019
COc1ccc(C[C@H](N)C(=O)N2C[C@@H](F)C[C@H]2C#N)cc1,CHEMBL3093905,8.06246936830415
CC(C)NC(=O)N1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1,CHEMBL1085522,6.920818753952375
N[C@@H](CCNCc1ccccc1Cl)C(=O)N1CCCCC1,CHEMBL98762,3.731090452463363
CC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1)C(=O)N1CCC[C@H]1B(O)O,CHEMBL1765234,7.710108201691595
