Name,CID,SMILES,predicted_pIC50,predicted_IC50_nM
(6R)-3-methyl-6-((2S)-6-methylhept-5-en-2-yl)cyclohex-2-en-1-one,10421034,CC1=CC(=O)C(CC1)C(C)CCC=C(C)C,5.294223909967744,5078.975174318992
"5-(6-Methylhept-5-en-2-yl)cyclohex-2-ene-1,4-diol",14633009,CC(CCC=C(C)C)C1CC(C=CC1O)O,5.291547032149269,5110.377329405866
Didemethoxybisabolocurcumin Ether,71456030,CC1=CC(C(CC1O)C(C)CC(=O)C=C(C)C)OC2=CC=C(C=C2)C=CC(=CC(=O)C=CC3=CC=C(C=C3)O)O,5.290628066320274,5121.202321386262
"5-Hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)-4,6-heptadiene-3-one",129864110,COC1=C(C=CC(=C1)C=CC(=CC(=O)CCC2=CC=C(C=C2)O)O)O,5.282477309695212,5218.223668447716
"(4Z,6E)-5-hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)hepta-4,6-dien-3-one",101464047,COC1=C(C=CC(=C1)C=CC(=CC(=O)CCC2=CC=C(C=C2)O)O)O,5.282477309695212,5218.223668447716
[4-(4-Hydroxy-3-methoxyphenyl)-2-oxobut-3-enyl] 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,78200755,COC1=C(C=CC(=C1)C=CC(=O)COC(=O)C=CC2=CC(=C(C=C2)O)OC)O,5.282435792853827,5218.722533915451
Calebin A,637429,COC1=C(C=CC(=C1)C=CC(=O)COC(=O)C=CC2=CC(=C(C=C2)O)OC)O,5.282435792853827,5218.722533915451
"(1E,6e)-1-(4-hydroxy-3-methoxyphenyl)-7-(3-methoxy-4-methylphenyl)-1,6-heptadiene-3,5-dione",44629981,CC1=C(C=C(C=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)OC,5.280345871823988,5243.896703385253
CID 641645,641645,COC1=C(C=CC(=C1)C=CC(=CC(=O)C=CC2=CC=C(C=C2)O)O)O,5.278722801355552,5263.531164254477
"(1E,4Z,6E)-1-(4-Hydroxyphenyl)-5-hydroxy-7-(3-methoxy-4-hydroxyphenyl)-1,4,6-heptatriene-3-one",5324476,COC1=C(C=CC(=C1)C=CC(=CC(=O)C=CC2=CC=C(C=C2)O)O)O,5.278722801355552,5263.531164254477
CID 20375919,20375919,C1=CC=C(C=C1)C=O.C1=CC=C(C=C1)C=O,5.276043661110886,5296.101976891253
Benzaldehyde,240,C1=CC=C(C=C1)C=O,5.276043661110886,5296.101976891253
Cyclocurcumin,69879809,COC1=C(C=CC(=C1)C=CC2=CC(=O)CC(O2)C3=CC(=C(C=C3)O)OC)O,5.275386972214059,5304.1161752384605
(-)-Myrtenyl acetate,12635160,CC(=O)OCC1=CCC2CC1C2(C)C,5.2743142666449305,5317.233513409753
"(6,6-Dimethylbicyclo(3.1.1)hept-2-en-2-yl)methyl acetate",61262,CC(=O)OCC1=CCC2CC1C2(C)C,5.2743142666449305,5317.233513409753
4-Coumaric acid,322,C1=CC(=CC=C1C=CC(=O)O)O,5.270451674723448,5364.7356317493
P-Coumaric Acid,637542,C1=CC(=CC=C1C=CC(=O)O)O,5.270451674723448,5364.7356317493
Demethoxybisabolocurcumin Ether,71459740,CC1=CC(C(CC1O)C(C)CC(=O)C=C(C)C)OC2=C(C=C(C=C2)C=CC(=CC(=O)C=CC3=CC=C(C=C3)O)O)OC,5.270013436329793,5370.151817803695
5'-Methoxycurcumin,10250249,COC1=CC(=CC(=C1O)OC)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC,5.25916177094794,5506.025634976881
Syn-benzaldehyde oxime,5324470,C1=CC=C(C=C1)C=NO,5.248641870053808,5641.026370361058
Caffeic Acid,689043,C1=CC(=C(C=C1C=CC(=O)O)O)O,5.23459278284336,5826.492840772665
beta Farnesene,15228937,CCC(=C)CCC=C(C)CCC=C(C)C,5.221422153270273,6005.8965418602065
"1,7-Bis(4-Hydroxyphenyl)-1-Heptene-3,5-Dione",9796708,C1=CC(=CC=C1CCC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O,5.220842419202153,6013.919088621829
"(1,7-Bis(4-hydroxyphenyl)-1-heptene-3,5-dione)",53666293,C1=CC(=CC=C1CCC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O,5.220842419202153,6013.919088621829
Nerol,643820,CC(=CCCC(=CCO)C)C,5.215173937958775,6092.928223560518
Geraniol,637566,CC(=CCCC(=CCO)C)C,5.215173937958775,6092.928223560518
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)-4-[(E)-2-methyl-6-(4-methylidenecyclohex-2-en-1-yl)hept-3-en-2-yl]hepta-1,6-diene-3,5-dione",102230693,CC(CC=CC(C)(C)C(C(=O)C=CC1=CC(=C(C=C1)O)OC)C(=O)C=CC2=CC(=C(C=C2)O)OC)C3CCC(=C)C=C3,5.211569424884511,6143.708125622499
"4,12,12-Trimethyl-9-methylene-5-oxatricyclo(8.2.0.04,6)dodecane",14350,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,5.208778256304145,6183.320298271333
Caryophyllene oxide,1742210,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,5.208778256304145,6183.320298271333
"(1R,4R,5R,9S)-4,5-epoxycaryophyllan-8(13)-ene",1742211,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,5.208778256304145,6183.320298271333
beta-Caryophyllene epoxide,6604672,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,5.208778256304145,6183.320298271333
Npc16157,13240188,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,5.208778256304145,6183.320298271333
4-Hydroxybenzaldehyde,126,C1=CC(=CC=C1C=O)O,5.203732699853862,6255.575933346763
"1,7-Bis(4-hydroxyphenyl)-3-hydroxy-1,3-heptadien-5-one",10614892,C1=CC(=CC=C1CCC(=O)C=C(C=CC2=CC=C(C=C2)O)O)O,5.203445941544713,6259.707762797047
