id,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Kind,Source_ID,Source,Source_URL,Source_Part,Source_Organism_ID,Source_Organism,Source_Organism_URL,Taxonomy,Evidence,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,refchemids,refsids,pmcids,pclids,References,Compound_CID,Taxonomy_ID
,LOTUS - the natural products occurrence database,"(4Z,6E)-5-hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-(4-hydroxyphenyl)hepta-4,6-dien-3-one",Q105380247,Dihydrodesmethoxycurcumine a,https://www.wikidata.org/wiki/Q105380247,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1271/BBB.80871,https://doi.org/10.1271/BBB.80871,,10.1271/BBB.80871,,,,28196261,"KITA T, IMAI S, SAWADA H, SETO H. Isolation of Dihydrocurcuminoids from Cell Clumps and Their Distribution in Various Parts of Turmeric (<i>Curcuma longa</i>). Bioscience, Biotechnology, and Biochemistry. 2009 May 23;73(5):1113–7. doi: 10.1271/bbb.80871.",101464047,136217
,Natural Product Activity and Species Source (NPASS),Turmeronol,NPC14421,NPC14421,https://bidd.group/NPASS/compound.php?compoundID=NPC14421,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,101695906,136217
,LOTUS - the natural products occurrence database,"(2E)-2-[(3Z,7Z)-4,8-dimethyl-10-oxocyclodeca-3,7-dien-1-ylidene]propanal",Q104390928,"(2E)-2-[(3Z,7Z)-4,8-dimethyl-10-oxocyclodeca-3,7-dien-1-ylidene]propanal",https://www.wikidata.org/wiki/Q104390928,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1016/S0021-9673(98)00540-8,https://doi.org/10.1016/S0021-9673(98)00540-8,,10.1016/S0021-9673(98)00540-8,,,,725032284,"He X, Lin L, Lian L, Lindenmaier M. Liquid chromatography–electrospray mass spectrometric analysis of curcuminoids and sesquiterpenoids in turmeric (Curcuma longa). Journal of Chromatography A. 1998 Aug;818(1):127–32. doi: 10.1016/s0021-9673(98)00540-8.",102056120,136217
,Natural Product Activity and Species Source (NPASS),"(3S,3aR)-3,3a-dihydroxy-3,8-dimethyl-5-propan-2-ylidene-1,2,4,8a-tetrahydroazulen-6-one",NPC75529,NPC75529,https://bidd.group/NPASS/compound.php?compoundID=NPC75529,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,102056122,136217
,LOTUS - the natural products occurrence database,8-Hydroxy-ar-turmerone,Q105007420,8-Hydroxy-ar-turmerone,https://www.wikidata.org/wiki/Q105007420,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1248/CPB.55.940,https://doi.org/10.1248/CPB.55.940,,10.1248/CPB.55.940,,,,24797786,"Zeng Y, Qiu F, Takahashi K, Liang J, Qu G, Yao X. New sesquiterpenes and calebin derivatives from Curcuma longa. Chem Pharm Bull (Tokyo). 2007 Jun;55(6):940–3. doi: 10.1248/cpb.55.940. PMID: 17541200.",102079805,136217
,LOTUS - the natural products occurrence database,"(5S,6S,9R)-9-hydroxy-9-methyl-3-propan-2-ylidene-6-prop-1-en-2-yl-1-oxaspiro[4.4]nonan-2-one",Q110076584,"(5S,6R,9S)-3-Isopropylidene-6-hydroxy-6-methyl-9-isopropenyl-1-oxaspiro[4.4]nonane-2-one",https://www.wikidata.org/wiki/Q110076584,Natural Product,,,,,Q42562,Curcuma longa,https://www.wikidata.org/wiki/Q42562,Curcuma longa (turmeric),DOI:10.1016/S0031-9422(00)80683-4,https://doi.org/10.1016/S0031-9422(00)80683-4,,10.1016/S0031-9422(00)80683-4,,,,685973636,"Shiobara Y, Asakawa Y, Kodama M, Yasuda K, Takemoto T. Curcumenone, curcumanolide A and curcumanolide B, three sesquiterpenoids from curcuma zedoaria. Phytochemistry. 1985 Oct;24(11):2629–33. doi: 10.1016/s0031-9422(00)80683-4.",102165195,136217
,Natural Product Activity and Species Source (NPASS),"1-[(3R,6S)-6-hydroxy-6'-[(E)-2-(4-hydroxyphenyl)ethenyl]-3,4',4',7-tetramethylspiro[3,4,4a,5,6,8a-hexahydrochromene-2,2'-3H-pyran]-5'-yl]-3-(4-hydroxyphenyl)propan-1-one",NPC33101,NPC33101,https://bidd.group/NPASS/compound.php?compoundID=NPC33101,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,102230685,136217
,Natural Product Activity and Species Source (NPASS),"3-(4-hydroxy-3-methoxyphenyl)-1-[(3R)-6'-[(E)-2-(4-hydroxy-3-methoxyphenyl)ethenyl]-3,4',4',7-tetramethylspiro[3,4,4a,5,6,8a-hexahydrochromene-2,2'-3H-pyran]-5'-yl]propan-1-one",NPC281295,NPC281295,https://bidd.group/NPASS/compound.php?compoundID=NPC281295,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,102230686,136217
,Natural Product Activity and Species Source (NPASS),"(2Z,4E)-3-hydroxy-5-(4-hydroxy-3-methoxyphenyl)-1-[(2S,3S,7R)-3-(4-hydroxy-3-methoxyphenyl)-5-methyl-7-(6-methylhept-5-en-2-yl)-2-bicyclo[2.2.2]oct-5-enyl]penta-2,4-dien-1-one",NPC139380,NPC139380,https://bidd.group/NPASS/compound.php?compoundID=NPC139380,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,102230687,136217
,Natural Product Activity and Species Source (NPASS),"6-[(2R,7S,8S)-7-[(2Z,4E)-3-hydroxy-5-(4-hydroxy-3-methoxyphenyl)penta-2,4-dienoyl]-8-(4-hydroxy-3-methoxyphenyl)-5-methyl-2-bicyclo[2.2.2]oct-5-enyl]-2-methylhept-2-en-4-one",NPC46233,NPC46233,https://bidd.group/NPASS/compound.php?compoundID=NPC46233,Natural Product,,,,,NPO24124,Curcuma longa,https://bidd.group/NPASS/organism.php?org_id=NPO24124,Curcuma longa (turmeric),,,,,,,,,,102230688,136217
