CID,Name
519762,4-Isopropenyl-5-methyl-2-(1-methylethylidene)-5-vinylcyclohexanone
519764,Sesquiphellandrene
519857,"1-Isopropyl-4,7-dimethyl-1,3,4,5,6,8a-hexahydro-4a(2H)-naphthalenol"
519960,Cyclosativene
520468,2-Methyl-5-(6-methylhept-5-en-2-yl)phenol
521207,Cedrene
521253,"2-Methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene"
521710,alpha-Patchoulene
522266,beta-Spathulenol
534856,"1,2-Longidione"
535296,Longipinocarvone
540009,"1,5,9-Trimethyl-11,14,15-trioxatetracyclo[10.2.1.04,13.08,13]pentadecan-10-one"
546952,"N,N-Dimethyl-2-cyclohexyloxyethylamine"
547972,2-(4-Ethenyl-4-methyl-3-(prop-1-en-2-yl)cyclohexyl)propan-2-ol
550361,"2-Cyclohexen-1-one, 4-(1,5-dimethyl-4-hexenyl)-"
558173,Npc160122
558221,2-Methyl-6-(4-methylphenyl)hept-2-en-4-one
563197,Cycloisolongifolene
576612,"1-(3-Cyclopentylpropyl)-2,4-dimethylbenzene"
576929,1-Ethyl-4-isobutylbenzene
578305,"2-(4,7-Dimethyl-1,2,3,4,4a,5,6,8a-octahydronaphthalen-1-yl)prop-2-enoic acid"
579897,b-Sitostenone
580360,"2-Pyrazoline, 1-isopropyl-3,4-dimethyl-"
586427,"5-Hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-4,6-heptadiene-3-one"
615367,Npc215743
636458,Isofuranodiene
637429,Calebin A
637517,Elaidic Acid
637542,P-Coumaric Acid
637566,Geraniol
638011,Citral
641645,CID 641645
643779,Neral
643820,Nerol
657014,Npc284731
689043,Caffeic Acid
699414,4-Methoxycinnamic Acid
853433,Isoeugenol
969516,Curcumin
1201518,"Borneol, (-)-"
1201529,"Myrtenal, (A+-)-"
1201530,"Pinocarveol, trans-(-)-"
1549025,Neryl acetate
1549026,Geranyl Acetate
1549040,cis-Anethole
1549107,"Farnesol, (2Z,6Z)-"
1549109,"(E,Z)-Farnesol"
1549992,Bisabolol
1550234,Cyqualon
1742210,Caryophyllene oxide
1742211,"(1R,4R,5R,9S)-4,5-epoxycaryophyllan-8(13)-ene"
2724161,"4-Terpineol, (+)-"
2734021,Npc197942
3033866,"gamma-Bisabolene, (Z)-"
3035221,Icos-2-enoic acid
3081930,Curzerenone
3083803,Dehydrodeguelin
3559861,"(3S,3aS,5S,6R,8aS)-5-isopropyl-3-methyl-8-methyleneoctahydro-6H-3a,6-epoxyazulen-6-ol"
5280343,Quercetin
5280450,Linoleic Acid
5280483,Vitamin K
5280536,Coniferaldehyde
5280794,Stigmasterol
5280934,Linolenic Acid
5281515,(-)-Caryophyllene
5281516,Farnesene
5281517,beta-Farnesene
5281519,Germacrene B
5281520,Humulene
5281522,(-)-Isocaryophyllene
5281525,"(3S,6E)-Nerolidol"
5281531,alpha-Santal-10-en-12-ol
5281553,"beta-OCIMENE, (3E)-"
5281672,Myricetin
5281767,"(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one"
5281861,Turricolol E
5282745,Palmitelaidic acid
5282747,2-Heptadecenoic acid
5282768,cis-11-Eicosenoic acid
5284507,Nerolidol
5315469,Bisacumol
5315472,Bisdemethoxycurcumin
5316213,"1-Methyl-4-(6-methylhept-6-en-2-yl)cyclohexa-1,4-diene"
5316216,"(6E)-6,10-dimethyl-3-propan-2-ylcyclodec-6-ene-1,4-dione"
5316217,"(6S)-6-ethenyl-3,6-dimethyl-5-prop-1-en-2-yl-5,7-dihydro-4H-1-benzofuran"
5317319,"beta-Farnesene, (6Z)-"
5317425,Isofuranodienone
5317570,Germacrene D
5318039,Hexahydrocurcumin
5319444,"6-[(1R,5S)-5-hydroxy-4-methoxy-4-methylcyclohex-2-en-1-yl]-2-methylhept-2-en-4-one"
5319445,3-Hydroxy-7-methoxy-5-methyl-8-propan-2-ylnaphthalene-2-carbaldehyde
5320128,"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, [S-(Z)]-"
5320250,"beta-Ocimene, (3Z)-"
5322111,"(4Z)-4,11,11-trimethyl-8-methylidenebicyclo(7.2.0)undec-4-ene"
5324470,Syn-benzaldehyde oxime
